KREG,category,year,value
9477000,HAUS,2010,1340.1818181818
9478000,HAUS,2010,1446.1290322581
9479000,HAUS,2010,1384.2385321101
9562000,HAUS,2010,1372.5263157895
9563000,HAUS,2010,1467.1698113208
9564000,HAUS,2010,1384.4209039548
9571000,HAUS,2010,1542.385840708
9572000,HAUS,2010,1575.265060241
9573000,HAUS,2010,1647.4036363636
9574000,HAUS,2010,1585.3043478261
9575000,HAUS,2010,1345.075862069
9576000,HAUS,2010,1585.5882352941
9577000,HAUS,2010,1440.34375
9663000,HAUS,2010,1190.8995215311
9671000,HAUS,2010,1609.5369127517
9672000,HAUS,2010,1363.8552631579
9673000,HAUS,2010,1257.328125
9674000,HAUS,2010,1481.4035087719
9675000,HAUS,2010,1450.0991735537
9676000,HAUS,2010,1472.6666666667
9677000,HAUS,2010,1432.7211267606
9678000,HAUS,2010,1535.8976744186
9679000,HAUS,2010,1505.980952381
9761000,HAUS,2010,1468.1307901907
9771000,HAUS,2010,1536
9772000,HAUS,2010,1507.6957210777
9773000,HAUS,2010,1553.5333333333
9774000,HAUS,2010,1530.3694267516
9775000,HAUS,2010,1494.4363636364
9776000,HAUS,2010,1324.1350210971
9777000,HAUS,2010,1346.6692307692
9778000,HAUS,2010,1461.479338843
9779000,HAUS,2010,1455.3636363636
9780000,HAUS,2010,1277.3073463268
10041000,HAUS,2010,1433.5642262166
10042000,HAUS,2010,1600.6023166023
10043000,HAUS,2010,1630.9003021148
10044000,HAUS,2010,1642.0124740125
10045000,HAUS,2010,1572.036836403
10046000,HAUS,2010,1495.2
11000000,HAUS,2010,1400.8642729283
12054000,HAUS,2010,1497.4156769596
12060000,HAUS,2010,1691.8823529412
12061000,HAUS,2010,1685.3473684211
12062000,HAUS,2010,1464.2550335571
12063000,HAUS,2010,1727.8531073446
12064000,HAUS,2010,1843.2019704434
12065000,HAUS,2010,1719.6495726496
12066000,HAUS,2010,1623.5833333333
12067000,HAUS,2010,1480.16875
12068000,HAUS,2010,1540.5868725869
12069000,HAUS,2010,1670.3465045593
12070000,HAUS,2010,1433.7657657658
12071000,HAUS,2010,1623.0402930403
12072000,HAUS,2010,1844.0578034682
12073000,HAUS,2010,1748.8480565371
13003000,HAUS,2010,1457.1335740072
13058000,HAUS,2010,1452.751835536
13071000,HAUS,2010,1399.43832021
13072000,HAUS,2010,1546.4452554745
13073000,HAUS,2010,1362.1272727273
13075000,HAUS,2010,1396.9333333333
13076000,HAUS,2010,1550.4682395644
14511000,HAUS,2010,1442.5367316342
14521000,HAUS,2010,1556.2426868906
14522000,HAUS,2010,1691.2126816381
14523000,HAUS,2010,1456.1404580153
14524000,HAUS,2010,1527.1065292096
14612000,HAUS,2010,1623.0877742947
14625000,HAUS,2010,1443.581127733
14626000,HAUS,2010,1530.3714285714
14627000,HAUS,2010,1563.4095238095
14628000,HAUS,2010,1617.5697865353
14713000,HAUS,2010,1444.88101983
14729000,HAUS,2010,1541.6543574594
14730000,HAUS,2010,1639.8524590164
15002000,HAUS,2010,1431.6397515528
15003000,HAUS,2010,1476.8387096774
15081000,HAUS,2010,1693.2173913044
15082000,HAUS,2010,1592.0186335404
15083000,HAUS,2010,1607.3211009174
15084000,HAUS,2010,1539.0511247444
15085000,HAUS,2010,1583.065026362
15086000,HAUS,2010,1874.2110552764
15087000,HAUS,2010,1638.6480446927
15088000,HAUS,2010,1976.6528497409
15089000,HAUS,2010,1535.1035781544
15090000,HAUS,2010,1506.5987261147
15091000,HAUS,2010,1489.0591549296
16051000,HAUS,2010,1628.6451612903
16053000,HAUS,2010,1531.3381294964
16061000,HAUS,2010,1579.9379844961
16062000,HAUS,2010,1569.8461538462
16063000,HAUS,2010,1421.0292887029
16064000,HAUS,2010,1368.0647249191
16065000,HAUS,2010,1394.1052631579
16066000,HAUS,2010,1366.2797494781
16067000,HAUS,2010,1801.1390728477
16068000,HAUS,2010,1744.9756097561
16069000,HAUS,2010,1650.175
16070000,HAUS,2010,1643.8059701493
16071000,HAUS,2010,1498.3917525773
16072000,HAUS,2010,1359.6511627907
16073000,HAUS,2010,1402.554517134
16074000,HAUS,2010,1539.5818181818
16075000,HAUS,2010,1469.9827586207
16076000,HAUS,2010,1516.7424242424
16077000,HAUS,2010,1711.2321428572
1002000,ALLGFA,2016,691.9408082
1003000,ALLGFA,2016,729.5678802
1051000,ALLGFA,2016,1623.058104
1053000,ALLGFA,2016,1884.416996
1054000,ALLGFA,2016,1635.110887
1055000,ALLGFA,2016,1490.270473
1056000,ALLGFA,2016,1491.353605
1057000,ALLGFA,2016,1852.043796
1058000,ALLGFA,2016,1347.40611
1059000,ALLGFA,2016,1385.159377
1060000,ALLGFA,2016,1726.201954
1061000,ALLGFA,2016,1430.967033
1062000,ALLGFA,2016,1538.544036
2000000,ALLGFA,2016,793.6031514
